vernacularName,behavior,individualCount,season,eventDate,eventTime,decimalLatitude,decimalLongitude,locality,cloud_cover,precipitation,wind_speed,sea_condition,tide_movement,visibility,glare
Larus argentatus,RE= resting,2,spring,2024-05-13,15:30/16:00,44.623888888888885,-63.60138888888889,Sir Sanford Flemming Park,10,Rain,3,2,Mid Rising,1-2,30
Corvus brachyrhynchos,FE= feeding,4,spring,2024-05-13,15:30/16:00,44.623888888888885,-63.60138888888889,Sir Sanford Flemming Park,10,Rain,3,2,Mid Rising,1-2,30
Larus delawarensis,FE= feeding,2,spring,2024-05-13,15:30/16:00,44.623888888888885,-63.60138888888889,Sir Sanford Flemming Park,10,Rain,3,2,Mid Rising,1-2,30
Corvus brachyrhynchos,FL= flying,3,spring,2024-05-13,15:30/16:00,44.623888888888885,-63.60138888888889,Sir Sanford Flemming Park,10,Rain,3,2,Mid Rising,1-2,30
Larus argentatus,FL= flying,1,spring,2024-05-13,15:30/16:00,44.623888888888885,-63.60138888888889,Sir Sanford Flemming Park,10,Rain,3,2,Mid Rising,1-2,30
Larus argentatus,RE= resting,1,summer,2024-07-26,15:30/16:00,44.623888888888885,-63.60138888888889,Sir Sanford Flemming Park,95,NA,1,1,High Falling,>1,10
Corvus brachyrhynchos,FE= feeding,2,summer,2024-07-26,15:30/16:00,44.623888888888885,-63.60138888888889,Sir Sanford Flemming Park,95,NA,1,1,High Falling,>1,10
Larus delawarensis,RE= resting,1,summer,2024-07-26,15:30/16:00,44.623888888888885,-63.60138888888889,Sir Sanford Flemming Park,95,NA,1,1,High Falling,>1,10
Corvus brachyrhynchos,FL= flying,1,summer,2024-07-26,15:30/16:00,44.623888888888885,-63.60138888888889,Sir Sanford Flemming Park,95,NA,1,1,High Falling,>1,10
Larus argentatus,FL= flying,1,summer,2024-07-26,15:30/16:00,44.623888888888885,-63.60138888888889,Sir Sanford Flemming Park,95,NA,1,1,High Falling,>1,10
Larus argentatus,RE= resting,3,spring,2024-05-15,16:00/16:30,44.577777777777776,-63.58472222222222,Purcellls Cove,85,Rain,3,2,Low Falling,1-2,20
Corvus brachyrhynchos,FE= feeding,5,spring,2024-05-15,16:00/16:30,44.577777777777776,-63.58472222222222,Purcellls Cove,85,Rain,3,2,Low Falling,1-2,20
Larus delawarensis,FE= feeding,3,spring,2024-05-15,16:00/16:30,44.577777777777776,-63.58472222222222,Purcellls Cove,85,Rain,3,2,Low Falling,1-2,20
Corvus brachyrhynchos,FL= flying,4,spring,2024-05-15,16:00/16:30,44.577777777777776,-63.58472222222222,Purcellls Cove,85,Rain,3,2,Low Falling,1-2,20
Larus argentatus,FL= flying,2,spring,2024-05-15,16:00/16:30,44.577777777777776,-63.58472222222222,Purcellls Cove,85,Rain,3,2,Low Falling,1-2,20
Larus argentatus,RE= resting,1,summer,2024-07-29,16:00/16:30,44.577777777777776,-63.58472222222222,Purcellls Cove,40,NA,2,1,Mid Rising,>1,30
Corvus brachyrhynchos,FE= feeding,2,summer,2024-07-29,16:00/16:30,44.577777777777776,-63.58472222222222,Purcellls Cove,40,NA,2,1,Mid Rising,>1,30
Larus delawarensis,RE= resting,1,summer,2024-07-29,16:00/16:30,44.577777777777776,-63.58472222222222,Purcellls Cove,40,NA,2,1,Mid Rising,>1,30
Corvus brachyrhynchos,FL= flying,1,summer,2024-07-29,16:00/16:30,44.577777777777776,-63.58472222222222,Purcellls Cove,40,NA,2,1,Mid Rising,>1,30
Larus argentatus,FL= flying,1,summer,2024-07-29,16:00/16:30,44.577777777777776,-63.58472222222222,Purcellls Cove,40,NA,2,1,Mid Rising,>1,30
Larus argentatus,RE= resting,4,spring,2024-05-17,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,50,Rain,4,3,Low Rising,1-2,10
Corvus brachyrhynchos,FE= feeding,6,spring,2024-05-17,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,50,Rain,4,3,Low Rising,1-2,10
Phalacrocorax auritus,FE= feeding,3,spring,2024-05-17,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,50,Rain,4,3,Low Rising,1-2,10
Larus delawarensis,FE= feeding,2,spring,2024-05-17,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,50,Rain,4,3,Low Rising,1-2,10
Somateria mollissima,FE= feeding,4,spring,2024-05-17,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,50,Rain,4,3,Low Rising,1-2,10
Corvus brachyrhynchos,FL= flying,5,spring,2024-05-17,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,50,Rain,4,3,Low Rising,1-2,10
Larus argentatus,FL= flying,3,spring,2024-05-17,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,50,Rain,4,3,Low Rising,1-2,10
Larus argentatus,RE= resting,2,summer,2024-07-31,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,85,NA,2,2,High Rising,>1,20
Corvus brachyrhynchos,FE= feeding,3,summer,2024-07-31,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,85,NA,2,2,High Rising,>1,20
Phalacrocorax auritus,RE= resting,2,summer,2024-07-31,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,85,NA,2,2,High Rising,>1,20
Larus delawarensis,RE= resting,1,summer,2024-07-31,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,85,NA,2,2,High Rising,>1,20
Somateria mollissima,RE= resting,2,summer,2024-07-31,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,85,NA,2,2,High Rising,>1,20
Corvus brachyrhynchos,FL= flying,2,summer,2024-07-31,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,85,NA,2,2,High Rising,>1,20
Larus argentatus,FL= flying,1,summer,2024-07-31,16:30/17:00,44.57861111111111,-63.455555555555556,Herring Cove,85,NA,2,2,High Rising,>1,20
Larus argentatus,RE= resting,1,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Corvus brachyrhynchos,FE= feeding,1,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Sturnus vulgaris,FE= feeding,10,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Columba livia,FE= feeding,5,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Corvus brachyrhynchos,O= other,1,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Sturnus vulgaris,O= other,20,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Columba livia,O= other,1,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Corvus brachyrhynchos,FL= flying,1,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Sturnus vulgaris,FL= flying,15,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Columba livia,FL= flying,3,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Corvus brachyrhynchos,RE= resting,1,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Sturnus vulgaris,RE= resting,6,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Columba livia,RE= resting,3,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Larus argentatus,RE= resting/O= other,3,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Corvus brachyrhynchos,FE= feeding/RE= resting,6,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Sturnus vulgaris,RE= resting/FL= flying,16,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Columba livia,RE= resting/FL= flying,6,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Corvus brachyrhynchos,FE= feeding/FL= flying,1,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
Larus argentatus,RE= resting/FL= flying/FE= feeding,6,early fall,2024-10-24,17:00/17:30,44.59722222222222,-63.456944444444446,Herring Cove Provincial Park,60,NA,1,1,Low Falling,>1,30
